Zipcode	SCORE	GRADE
11220	26	
11434	13	A
11249	12	A
11421	22	
10035	38	
11104	8	
10016	9	A
10003	34	
10018	7	A
11385	19	
10019	43	
10036	2	A
10001	14	
10021	66	
10461	51	
11216	47	
10458	11	A
10024	31	
10002	10	A
10019	12	A
11234	35	
10003	7	A
11368	7	A
11237	22	
11237	7	C
11205	12	A
11220	13	A
10119	11	A
10028		
11215	32	C
10024	21	
10301	8	A
10453	12	A
11219	15	
10022	11	A
11211	22	
10038	19	
10013		
11375	12	A
10455	54	
10302	17	
	36	
11238	22	B
10019	4	A
10017	19	
11237	10	A
10014	26	
10456	13	A
11355	45	
11358	12	A
10014	24	
10021	18	
10306	7	A
11421	20	
10012	32	
11369	11	A
11102	13	A
10461	31	
10013	116	
11220	11	
10016		
11220		
10009	13	
10031	12	A
10032	13	A
10001	12	A
10458		
10040	34	
10467	47	
11361	11	A
10013	58	
10458	5	
11373	21	
11377	10	A
11237	47	
10452		
10029	19	
10075	14	
11361	22	B
10472	11	A
10473	19	
11217	9	A
10029		
11373	29	Not Yet Graded
10017	18	
10454	13	
10001	15	
11432	26	Z
11220	19	
11385	10	A
11432	6	A
11417	10	A
10028	12	
11103	10	
11385	21	
11102	11	
10022	10	
11418	35	
11422	4	
11203	21	
10036	7	A
10462	19	
10018	20	
10065	13	A
10003	9	A
11372	51	
11215	13	A
10020	25	B
11211	5	A
11238	34	
11238	35	
11213	35	
11249	9	A
10022	11	A
11229	21	
10471	19	
10027	50	C
11373	12	A
11214	13	A
10452	23	
11373	34	
10022	13	A
11355	17	B
10028	10	A
10307	10	A
10029	5	A
10451	19	B
11231	11	A
11208	23	
11215		
10009	13	A
11368	11	
10457	14	
10028	2	A
11236	7	A
10034	12	A
11422	33	
11216	23	
10036	11	A
10001	13	A
10314	12	A
10021	23	
10308	11	A
11104	32	
10010	9	A
11233	62	
10002	12	
10011	17	
10458	12	A
10452	21	
10024	7	A
10011	14	
10025	8	A
10035	18	
11414	20	
10022	17	
11222	12	A
10009	21	B
11221	20	
10003	47	
10456		
10003		
11432	7	A
10003	24	
10013	14	B
11207	9	A
11216	9	P
10011	10	A
11435	22	
10011	17	
11220	8	
11237	28	C
10019	27	
10017	10	A
11372	8	A
11221	51	
11213	12	A
10128	0	P
10452	12	A
11354	28	
10307	20	
10011	9	
11209	16	
10028	30	
10035	25	B
10004	18	
11216	18	
10458	8	
10128	10	A
10019	10	A
11204	28	
11101	35	
10025	12	
11102	6	A
11369	18	
11201	17	
10016	14	
10023	14	
11040	13	A
11354	29	
10461	27	B
10013	25	
11206	11	A
11234	30	
11210	24	B
11430		
11358	12	A
11209	13	
10310	8	A
10075	54	
10306	20	
11358	14	
10023	44	Not Yet Graded
11109	13	A
10458	39	
10014	31	Not Yet Graded
11233	40	
11238	20	
11222	11	A
11211	4	A
10036	9	A
11201	9	A
10036	45	
10451	12	A
11354	19	B
10003	7	A
11103	6	
10011	24	B
10302	31	
11234	8	A
11235	22	
10029	18	B
11211	9	A
10016	14	
11372	10	A
10029	33	
10474	14	
11219	29	
11223	11	A
11368	8	A
10312	21	B
11238	7	A
11435	3	A
11211	10	A
10019	13	A
11226		
11372	20	
10314	13	A
11209	10	A
11105	12	A
10065	34	
11377	22	
11237		
10003	34	
11232	33	
11361		
10002	30	
11224	20	
11372	56	
11201	8	A
10019		
10019	20	
11373	11	A
10009		
11214	14	B
10002	9	
10464	26	B
10031	9	A
11215	10	A
10065	9	A
11417	38	C
10462	15	
10021	48	
11372	47	C
10021	20	
11226	55	
10017	7	A
11232	29	
10025	42	
11206	71	
10039	8	A
11372	12	A
10304	12	A
10016	17	
10065		
11385	19	
11430	7	A
10025	48	
11385	12	A
10002	22	
10001		
11372	31	
11372	10	
10036	43	
11231	12	
11220	13	A
11436	11	A
10022	12	A
10001	5	A
11235	9	
10034	12	
11223		
10012	12	A
11378	11	A
10306	37	
10001	40	
10454	12	A
10023	13	A
10016	42	
10031	9	A
11237	25	
10453	10	A
10011	11	A
11364	21	B
10468	11	A
10018	26	
10024		
11355	33	
11215	10	A
10465	10	A
10461	15	
10029	44	
10028	31	
10020	16	
11216	11	A
11101	12	A
11238	12	A
10028	12	
11222	19	B
11235	22	
10302		
10002	47	
10016		
10029		
10022	31	
11210	18	B
11377	11	A
11423	9	A
10002	7	A
10028	30	
11101	51	
11373	9	A
11225	66	
10017	42	
11206	10	A
10037	9	P
10303	12	A
11203	9	A
10455	11	A
10065	12	A
11214	50	
11372	55	
11422	50	
11228	17	
11207	21	B
10463	17	B
	10	A
11211	24	
11103		
	10	A
11203	17	
10023	12	A
11101	12	A
11215	9	A
10019	21	B
10454	9	A
11232	60	
10025	10	A
10025		
10003	48	
10012	8	P
10010	10	A
11419	12	A
11211	11	A
10019	0	
10017	13	A
10461	12	
10038	0	
	13	A
11106	22	
10027	11	A
10075	32	
11358	13	A
10044	12	A
10022	19	
10075	13	A
10012	16	B
10452	22	
11103	7	A
11231	27	
11357	20	B
10002	35	
11104	11	A
10022	17	B
11222	12	A
10065	83	C
11372	22	
11426	6	
10305	23	
11215	62	
11434	12	A
11412	15	
11237	12	A
11430	13	A
10011	10	A
10128	12	A
11218	15	B
10038	5	
11374	13	A
11373	21	
11429	9	A
11355	33	
10306	14	
10024	19	
11234	5	A
11368	10	A
10019	7	A
10305	13	A
10001	12	A
11211	22	
11223	13	A
10036	44	
10038	31	
	12	A
10451	50	
10128	8	A
10019	14	
11358	4	A
11377	12	
11237	23	
10036	12	A
10022	28	
11103	12	A
10314	10	A
10032	10	Not Yet Graded
10307	17	
11249	7	A
11232	18	
10031	21	
10019	12	A
10003	10	P
10012	28	
10023	25	
10001	13	A
10023	12	A
10007	11	A
11213	26	
10024		
10017	20	
11238		
11419	10	
11223	23	Z
11207	19	B
10003	18	
11238	13	A
11419	10	A
10036	12	
10009	12	A
10128	9	A
11106	7	A
10017	7	A
11235	9	A
10463	42	Z
11104	17	
11103	21	
10022	10	A
11434	26	Z
10016	9	A
11223	21	
11220	33	
11201	13	A
11358	11	C
11215	8	A
	20	B
11226	23	
10023	24	
11434	10	A
11230	32	
11225	12	A
10034	28	
11206	26	
10022	30	C
11411	32	
10003		
10024	19	
10021	7	A
11369	32	
11385	7	A
11249	16	
11430	25	
11216	12	A
11369	42	
10467	11	A
11215	13	
10003	17	
11430		
11226	42	
11377	12	A
11201	2	A
11418	22	
10471	10	A
10014	6	A
10280	28	
11385	23	
10305	13	
10002	12	A
	29	
10003	23	
10019	7	A
11208	12	A
11210	19	B
11231		
11220	12	A
11237	20	
10018	34	
11224	25	
11372	6	A
	21	
11432	13	A
10033	12	A
10002	9	A
11354	50	
11236	10	A
10003	21	
10302	22	
11249	13	A
10012	12	A
11224	16	
11419	8	A
10023	10	A
10036	56	
11354	15	B
11420	2	A
11211	29	
11355	12	
10075	17	
10460	33	
10016	12	A
11104	18	B
10029	9	A
10018	9	A
11217	23	
10029	19	
10451	7	A
11207	36	
11219	29	
10012	10	A
11225	24	
10474	7	A
11225	49	
11368	13	A
11366	5	A
11236	24	
10021	20	
11101	17	
11226	41	
10040	10	
10026	17	B
11203	21	
10024	8	
11231	13	
10466	19	B
10027	24	
11238	22	
11217	35	
10457	24	
10003	13	A
11201	12	A
10128		
11234	12	A
11229	27	B
10001		
10306	44	Z
10001	13	A
11211	36	
11222	7	A
10014	20	
11220	38	
11378	5	A
10005	13	A
10002	7	A
11208	12	A
11373	12	A
10002	28	
11691	21	
10011	69	
11377	117	
10036	45	
10019	21	B
11377	18	
11103	4	A
11361	13	A
11368	83	
11209	10	A
11238	9	A
10038	10	
10006	20	
10128	29	
10312	58	
11220	9	A
11105	28	
10028	43	
10458	18	
11201	29	
11210	37	
11358	12	
11220	55	
10036	11	A
10026		
11106	12	A
10001	9	A
10019	60	
11217	7	A
11434	13	A
10016	29	
10305		
10466	12	A
11414	22	
11212	26	
11217	27	
10011	12	A
10001	6	A
11694	8	A
11413	11	A
10013	13	A
10280	23	
11211	26	B
11218	9	A
11213	27	
10019	10	A
10024		
10018	47	
11216	10	A
11211	36	
10033	13	A
10010	4	
10019	12	A
11104	19	
10038	74	
11414	49	
10457	12	
10035	40	C
10002	14	B
11223	10	A
11217	18	
11691	26	
11220	12	A
11105	16	
11005	37	
10003	60	
10017	24	
10016	19	
10306	27	
10302	46	
10013	10	A
10001	26	
10031	43	
11215	13	
10013	7	A
11355	31	
11106	41	
11237	12	
10019	10	A
10002	25	B
11225	2	
10002	10	A
11385	32	
10027	44	
10306	21	
11219	12	A
10012	34	
11207	24	
10023	22	Z
11106	19	
10308	27	B
11212	13	
11354	22	
11354	15	
11230		
10452	10	A
11368	29	
11215	15	
10002	12	A
11379	19	
10011	42	
10010	13	
11209	32	
11225	7	A
11222	44	
11214	3	P
11223		
11354	9	A
11225	7	A
11210	11	A
10002		
11220	10	A
11215	10	A
11421	12	A
11355	21	
10466	12	A
10306	18	
11237	12	A
11249	16	
10005	34	
10003	11	A
11222	13	A
11203	16	
11211	9	
11418	36	
11209	46	
10459	16	
10002		
10012	25	
11237	7	A
10036	9	A
11206	7	
11214	22	
10021		
10012	67	
10033	35	
11373	28	
11222	20	
11232	20	B
11215		
10001	5	A
11201	22	
10467	11	A
10468	15	
10036	42	
10018	20	
11238	28	C
10014	11	A
	35	
10461		
11226	36	
11101	18	
10466	12	A
10010	24	
11204	9	A
10025	12	A
10012	32	
10461	7	A
11215	24	
10009		
10016	13	A
11229	5	
11234	10	
11355	9	A
10001	26	
11216	9	A
11220	55	C
11433	24	
11354	37	
11213	42	Not Yet Graded
10019	19	B
11697	8	
11372	31	
10024	16	
11222	18	
10028	28	
11238	18	B
10014	4	A
11377	28	
11375	15	
11362	7	A
11223	33	
11232	20	
10464	5	A
10013	25	
11101		
10016	36	
